,Unnamed: 0,Title,Subtitle,Image,Author,Publication,Year,Month,Day,Reading_Time,Claps,url,Author_url,Tag_artificial-intelligence,Tag_data-analytics,Tag_data-engineering,Tag_data-science,Tag_deep-learning,Tag_machine-learning,Tag_nlp,Tag_python,Tag_r,Tag_reinforcement-learning,Tag_statistics,Category
2168,2168,Mitigate the Pandemic Risk with Big Data analytics,,1,Divyesh Dharaiya,Becoming Human: Artificial Intelligence Magazine,2020,8,21,6,49.0,https://becominghuman.ai/mitigate-the-pandemic-risk-with-big-data-analytics-220fd1cd8244,https://becominghuman.ai/@div1.dharaiya,0,1,0,0,0,0,0,0,0,0,0,Tag_data-analytics
2973,2973,What is Performance Recording in Tableau?,The performance recording specification in Tableau records,1,Divyesh Dharaiya,Becoming Human: Artificial Intelligence Magazine,2020,7,22,5,48.0,https://becominghuman.ai/what-is-performance-recording-in-tableau-99e29d36a8f9,https://becominghuman.ai/@div1.dharaiya,0,1,0,0,0,0,0,0,0,0,0,Tag_data-analytics
3276,3276,The Seven Core Principles of Privacy by Design,"As both the risks and opportunities of data increase, there is a corresponding increase in pressure on companies to build whats known as Privacy by Design or PbD into their data practices.",0,Aircloak,Aircloak Blog,2018,2,6,3,43.0,https://blog.aircloak.com/the-seven-core-principles-of-privacy-by-design-fb91034d564f,https://blog.aircloak.com/@aircloak,0,1,0,0,0,0,0,0,0,0,0,Tag_data-analytics
3335,3335,How to Manage a Successful Data Consulting Project,"I was happy to join Aptitive because one of our core values is to create excellence in small team consulting work. What that means for me is that we maintain a top-tier, project management culture. Today, I will discuss the subject areas",0,Greg Marsh,Aptitive,2017,1,30,3,6.0,https://blog.aptitive.com/how-to-manage-a-successful-data-consulting-project-d1d6152fd47f,https://blog.aptitive.com/@gregmarsh85,0,1,0,0,0,0,0,0,0,0,0,Tag_data-analytics
3470,3470,Conoscete i molti cambiamenti degli Analytics? Ecco i trend che caratterizzeranno il 2019,,1,B Human,Essere digitali,2019,2,27,2,3.0,https://blog.bhuman.it/conoscete-i-molti-cambiamenti-degli-analytics-ecco-i-trend-che-caratterizzeranno-il-2019-8c1ea6134522,https://blog.bhuman.it/@bhuman,0,1,0,0,0,0,0,0,0,0,0,Tag_data-analytics
3875,3875,Choosing the Right Big Data Analytics Company: Three Questions to ask!,Questions you need to ask,1,Ajinkya Shetty,Clairvoyant Blog,2020,5,7,5,50.0,https://blog.clairvoyantsoft.com/choosing-the-right-big-data-analytics-company-five-questions-to-ask-96acdf56eb14,https://blog.clairvoyantsoft.com/@ajinkya.shetty,0,1,0,0,0,0,0,0,0,0,0,Tag_data-analytics
3886,3886,How to manage credit risk effectively with the use of data analytics?,,1,Ankita Srivastava,Clairvoyant Blog,2019,7,1,3,11.0,https://blog.clairvoyantsoft.com/how-to-manage-credit-risk-effectively-with-the-use-of-data-analytics-7ebcd44ef1e1,https://blog.clairvoyantsoft.com/@ankita.srivastava,0,1,0,0,0,0,0,0,0,0,0,Tag_data-analytics
3935,3935,"Improved, Speedier Report Editing","Reading beautiful, meaningful reports feels greatassembling them should feel just as awesome. With",1,Yukiko A onuevo,ClearGraph,2016,12,13,2,1.0,https://blog.cleargraph.io/speedier-report-editing-df32aff6df07,https://blog.cleargraph.io/@yukikoanonuevo,0,1,0,0,0,0,0,0,0,0,0,Tag_data-analytics
3983,3983,Cluvio has just been named a FrontRunner for Business Intelligence on Software Advice!,,1,Ian Formanek,Cluvio,2019,5,13,2,0.0,https://blog.cluvio.com/cluvio-has-just-been-named-a-frontrunner-for-business-intelligence-on-software-advice-e10aa535946c,https://blog.cluvio.com/@ian_formanek,0,1,0,0,0,0,0,0,0,0,0,Tag_data-analytics
3984,3984,Cluvio News #3New Sharing features,"Embedded dashboards, share dashboards via link, updated website",1,Ian Formanek,Cluvio,2016,11,12,2,0.0,https://blog.cluvio.com/cluvio-news-3-embedded-dashboards-share-dashboards-via-link-updated-website-b447723f35bd,https://blog.cluvio.com/@ian_formanek,0,1,0,0,0,0,0,0,0,0,0,Tag_data-analytics
3985,3985,Cluvio News #5Excel and stuff,"Download dashboards as Excel, data in balloons, improved custom",1,Ian Formanek,Cluvio,2017,1,30,2,0.0,https://blog.cluvio.com/cluvio-news-4-excel-and-stuff-30de5a3598ec,https://blog.cluvio.com/@ian_formanek,0,1,0,0,0,0,0,0,0,0,0,Tag_data-analytics
3986,3986,Cluvio News #4Our biggest release yet!,"Custom filters, sql snippets, sql alerts and much more!",1,Ian Formanek,Cluvio,2017,1,30,5,0.0,https://blog.cluvio.com/cluvio-news-4-our-biggest-release-yet-c7d32e0d39da,https://blog.cluvio.com/@ian_formanek,0,1,0,0,0,0,0,0,0,0,0,Tag_data-analytics
3989,3989,Cluvio News #2We are live!,"Custom R scripts (!), cumulative value axis, dashboard prewarming and",1,Ian Formanek,Cluvio,2016,10,31,4,0.0,https://blog.cluvio.com/select-news-from-cluvio-2-2aec00f91752,https://blog.cluvio.com/@ian_formanek,0,1,0,0,0,0,0,0,0,0,0,Tag_data-analytics
4053,4053,"BI, Big Data, Data Analytics Puedo sacarles provecho en mi empresa?",La nube hace posible que las,1,Martin Manzo,Colap,2017,8,31,5,11.0,https://blog.colap.io/bi-big-data-data-analytics-puedo-sacarles-provecho-en-mi-empresa-a136c784c199,https://blog.colap.io/@martinmanzo,0,1,0,0,0,0,0,0,0,0,0,Tag_data-analytics
4168,4168,10 not-so-obvious-ways to drill down your product analytics data,Drill is one of the most important,1,Product Analytics Insights,Countly,2019,3,25,3,1.0,https://blog.count.ly/10-not-so-obvious-ways-to-drill-down-your-product-analytics-data-2c9c8a0b2e45,https://blog.count.ly/@countly,0,1,0,0,0,0,0,0,0,0,0,Tag_data-analytics
4169,4169,6 questions to ask yourself before creating a dashboard,"Every team needs a dashboard, but usually it",1,Product Analytics Insights,Countly,2017,10,29,5,86.0,https://blog.count.ly/6-questions-to-ask-yourself-before-creating-a-dashboard-f5eb623f5944,https://blog.count.ly/@countly,0,1,0,0,0,0,0,0,0,0,0,Tag_data-analytics
