,Unnamed: 0,Title,Subtitle,Image,Author,Publication,Year,Month,Day,Reading_Time,Claps,url,Author_url,Tag_artificial-intelligence,Tag_data-analytics,Tag_data-engineering,Tag_data-science,Tag_deep-learning,Tag_machine-learning,Tag_nlp,Tag_python,Tag_r,Tag_reinforcement-learning,Tag_statistics,Category
1550,1550,Exporting Cassandra time series data to S3 for data analysis with Spark,This article describes a way,1,Ivan Vasquez,Becoming Human: Artificial Intelligence Magazine,2018,11,29,6,152.0,https://becominghuman.ai/exporting-cassandra-time-series-data-to-s3-for-data-analysis-using-spark-ca9337990a21,https://becominghuman.ai/@ivan.vasquez,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
3136,3136,From 1 to N: Distributed Data Processing with Airflow,,0,Steve Spagnola,Betterment Engineering,2017,8,14,6,0.0,https://betterment.engineering/from-1-to-n-distributed-data-processing-with-airflow-1daf7ab1d38f,https://betterment.engineering/@steve.spagnola,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
3311,3311,How to Improve Data Warehouse Efficiency using S3 over HDFS on Hive,,1,Andi Nugroho Dirgantara,Hellowin,2017,1,31,5,21.0,https://blog.andi.dirgantara.co/how-to-improve-data-warehouse-efficiency-using-s3-over-hdfs-on-hive-e9da90ea378c,https://blog.andi.dirgantara.co/@hellowin,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
3739,3739,Generating spatial data from free form text,How NYC Dept. of City Planning puts non-spatial data on a,1,Amanda Doyle,NYC Capital Planning,2018,2,14,5,8.0,https://blog.capitalplanning.nyc/generating-spatial-data-from-free-form-text-d330c9d84a6b,https://blog.capitalplanning.nyc/@amandadoylenyc,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
3877,3877,Installing Cloudera Quickstart VM through Docker Hub (on Mac),A Step-by-Step installation guide to set,1,Akash Patel,Clairvoyant Blog,2019,10,15,3,100.0,https://blog.clairvoyantsoft.com/cloduera-quickstart-vm-using-docker-on-mac-2308acd196f2,https://blog.clairvoyantsoft.com/@ajpatel.bigdata,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
3889,3889,Improving your Apache Spark Application Performance,Simple Tips and Tricks to Improve the Performance,1,Robert Sanders,Clairvoyant Blog,2019,9,19,3,515.0,https://blog.clairvoyantsoft.com/improving-your-apache-spark-application-performance-e51e06339baa,https://blog.clairvoyantsoft.com/@rssanders3,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
3918,3918,Upgrade Docker CDH image to JDK1.8,Steps to upgrade the CDH Docker instance from JDK1.7 to JDK1.8,1,Vishnu Sharath,Clairvoyant Blog,2019,10,16,5,132.0,https://blog.clairvoyantsoft.com/upgrade-docker-cdh-image-to-jdk1-8-to-use-spark-2-a-complete-tutorial-61a1b67b2597,https://blog.clairvoyantsoft.com/@vishnusharath,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
4313,4313,Make the most out of EMR with PySpark and pyenv,,1,Fernando Cisneros,Datank.ai Blog,2017,10,30,4,23.0,https://blog.datank.ai/make-the-most-out-of-emr-with-pyspark-and-pyenv-954c028a7552,https://blog.datank.ai/@fernando_82911,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
4656,4656,Emumba: 2019 in the Rear-view Mirror,"2019 was another exciting year for Emumba which brought a lot of wins, challenges",1,Talal Saleem,Emumba,2020,1,2,5,30.0,https://blog.emumba.com/emumba-2019-in-the-rear-view-mirror-482bd1f4ae37,https://blog.emumba.com/@talal.saleem,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
5073,5073,Five principles that will keep your data warehouse organized,,1,Claire Carroll,Fishtown Analytics,2019,7,15,7,447.0,https://blog.fishtownanalytics.com/five-principles-that-will-keep-your-data-warehouse-organized-9c3d29caf6ce,https://blog.fishtownanalytics.com/@clrcrl,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
5075,5075,How Monzo (the UKs favorite mobile-only bank) is rolling out dbt,,1,Claire Carroll,Fishtown Analytics,2019,7,22,5,141.0,https://blog.fishtownanalytics.com/how-monzo-the-uks-favorite-mobile-only-bank-is-rolling-out-dbt-73cfb7aea718,https://blog.fishtownanalytics.com/@clrcrl,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
5079,5079,Scaling Knowledge,The hardest thing about scaling a company is communication.,1,Tristan Handy,Fishtown Analytics,2018,9,30,7,520.0,https://blog.fishtownanalytics.com/scaling-knowledge-160f9f5a9b6c,https://blog.fishtownanalytics.com/@jthandy,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
5093,5093,How to adopt Airflows KubernetesExecutor & S3 Logging ,,1,Kieran Mulholland,Flock,2020,2,24,8,43.0,https://blog.flockcover.com/how-to-adopt-airflows-kubernetesexecutor-s3-logging-%EF%B8%8F-728550d8d8fb,https://blog.flockcover.com/@k.mulholland2013,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
5361,5361,How We Monitor Apache Airflow in Production,A quick guide on what (and how) to monitor to keep your workflows running smoothly.,1,Shekhar Singh,Gojek Product Tech,2020,5,8,5,111.0,https://blog.gojekengineering.com/how-we-monitor-apache-airflow-in-production-210f9bff9e71,https://blog.gojekengineering.com/@rootcss,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
5366,5366,Meet HodorGojeks Upstream Data Quality Tool,Learn how Gojeks Data Engineering team built a tool,1,Maulik Soneji,Gojek Product Tech,2019,11,22,7,99.0,https://blog.gojekengineering.com/meet-hodor-gojeks-upstream-data-quality-tool-fb877447aad1,https://blog.gojekengineering.com/@maulik.soneji,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6132,6132,Assessing and interviewing data engineers from a distance,,1,Hoa Nguyen,Insight,2020,4,8,7,79.0,https://blog.insightdatascience.com/assessing-and-interviewing-data-engineers-from-a-distance-bae24af56b27,https://blog.insightdatascience.com/@hoa_9453,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6140,6140,Building a Streaming Search Platform,Ryan Walker discusses his project of building a streaming search,1,Insight,Insight,2016,2,29,12,76.0,https://blog.insightdatascience.com/building-a-streaming-search-platform-61a0d5a323a8,https://blog.insightdatascience.com/@InsightData,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
