,Unnamed: 0,Title,Subtitle,Image,Author,Publication,Year,Month,Day,Reading_Time,Claps,url,Author_url,Tag_artificial-intelligence,Tag_data-analytics,Tag_data-engineering,Tag_data-science,Tag_deep-learning,Tag_machine-learning,Tag_nlp,Tag_python,Tag_r,Tag_reinforcement-learning,Tag_statistics,Category
80,80,"Defining Deep Learning, Part 2: How We Apply It",,1,Venkat Nagaswamy,Above Intelligent  AI/ML,2017,4,18,8,5.0,https://aboveintelligent.com/defining-deep-learning-part-2-how-we-apply-it-316ab8c60462,https://aboveintelligent.com/@venkatnagaswamy,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
111,111,The Circular Relationship Between Mind and Matter,Reality is virtual. All of it.,1,Ilexa Yardley,Above Intelligent  AI/ML,2017,6,24,1,1.0,https://aboveintelligent.com/the-circular-relationship-between-mind-and-matter-14de92ab0e54,https://aboveintelligent.com/@IlexaYardley,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
125,125,Universal Basic Income: Will Humans Become Lazy Or Will We Continue To Stay Employed,,1,Yva.ai,Above Intelligent  AI/ML,2017,4,26,3,9.0,https://aboveintelligent.com/universal-basic-income-will-humans-become-lazy-or-will-we-continue-to-stay-employed-2172f97c8079,https://aboveintelligent.com/@Yva.ai,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
126,126,Using TensorFlow to classify hotdogs!,"In the very popular show Silicon Valley, one of my favorite characters Jian Yang creates a",1,Hayzam Sherif,Above Intelligent  AI/ML,2017,5,18,3,82.0,https://aboveintelligent.com/using-tensorflow-to-classify-hotdogs-8494fb85d875,https://aboveintelligent.com/@faze.php,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
201,201,AI Winners Portfolio Methodology,The AI Winners Portfolio tracks the publicly traded stocks of companies that are leaders in embracing,1,Jonas Lamis,Strategies for Emerging Tech,2016,6,9,4,7.0,https://aiinvestor.com/ai-winners-portfolio-methodology-6fe51e4f697d,https://aiinvestor.com/@jonaslamis,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
205,205,Can Monsanto Feed the World with AI?,Domination of the agro-industrial complex in the 21st century,1,Jonas Lamis,Strategies for Emerging Tech,2016,6,21,4,12.0,https://aiinvestor.com/can-monsanto-feed-the-world-with-ai-450c929f71ff,https://aiinvestor.com/@jonaslamis,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
206,206,Deep Learning in the Financial Press,"Over the last 12 months, the number of articles discussing deep learning technologies and associated companies has accelerated dramatically. Using Sens.ai, I identified 152 articles covering the topic, with more than 50% of those occurring in Q2 2016 alone.",0,Jonas Lamis,Strategies for Emerging Tech,2016,6,17,2,3.0,https://aiinvestor.com/deep-learning-in-the-financial-press-8b5177a3faf8,https://aiinvestor.com/@jonaslamis,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
207,207,Deep Learning Startups Around The World,The Future is already hereits just not evenly distributed,1,Jonas Lamis,Strategies for Emerging Tech,2016,7,18,3,1.0,https://aiinvestor.com/deep-learning-startups-around-the-world-ef744d1bd1b2,https://aiinvestor.com/@jonaslamis,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
217,217,Speculating on the AI behind Art App PRISMA,"As it happens every few months, a new photo app emerges out of nowhere and is",1,Jonas Lamis,Strategies for Emerging Tech,2016,7,21,4,27.0,https://aiinvestor.com/speculating-on-the-ai-behind-art-app-prisma-40b90f9a5f6b,https://aiinvestor.com/@jonaslamis,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
219,219,The Theory of Everything with Googles Demis Hassabias,,1,Jonas Lamis,Strategies for Emerging Tech,2016,6,6,2,8.0,https://aiinvestor.com/the-theory-of-everything-with-googles-demis-hassabias-8afb384a871b,https://aiinvestor.com/@jonaslamis,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
248,248,Designing services in the age of chat bots,Chat bots are here to stay (at least until we all live in virtual reality). We live,1,Andrew Fung,Andrew Fung,2016,4,10,8,14.0,https://andrewfung.ca/designing-services-in-the-age-of-chat-bots-55453f90c25b,https://andrewfung.ca/@twitxaf,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
351,351,Baidus Andrew Ng on the economics of AI and what tech companies owe the labor force,,1,Derrick Harris,ARCHITECHT,2017,2,2,4,21.0,https://architecht.io/baidus-andrew-ng-on-the-economics-of-ai-and-what-tech-companies-owe-the-labor-force-151e07b07e92,https://architecht.io/@derrickharris,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
505,505,Yahoo Engineering keeps on keepin on,"Yahoo might be the worlds slowest sinking ship, but dont blame",1,Derrick Harris,ARCHITECHT,2017,2,14,2,6.0,https://architecht.io/yahoo-engineering-keeps-on-keepin-on-3751ab54f5d7,https://architecht.io/@derrickharris,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
517,517,Our Greatest Invention,Model Based Problem Solving,1,Monica Anderson,Artificial Understanding,2017,6,23,6,248.0,https://artificial-understanding.com/our-greatest-invention-1740128b406,https://artificial-understanding.com/@monicaanderson,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
519,519,Two Dirty Words,Reductionism and Holism,1,Monica Anderson,Artificial Understanding,2017,6,26,9,152.0,https://artificial-understanding.com/two-dirty-words-6703aee8e323,https://artificial-understanding.com/@monicaanderson,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
521,521,Why Deep Learning Works,"We have now built a base of theory for why AI works, what Models are and how to create them, what Reductionism and Holism are, and what the process of Reduction is. These are the",0,Monica Anderson,Artificial Understanding,2018,2,24,10,1200.0,https://artificial-understanding.com/why-deep-learning-works-1b0184686af6,https://artificial-understanding.com/@monicaanderson,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
545,545,AIs Road to the Mainstream,20 Years of Machine Learning,0,Mikio L. Braun,ART marketing,2016,7,30,7,65.0,https://artplusmarketing.com/ais-road-to-the-mainstream-3a04b2aebe8e,https://artplusmarketing.com/@mikiobraun,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
567,567,Painting with AIs,"A year or two ago, if youd asked, I would have suggested that yes, eventually, software and robots will take all our jobs. The",1,Phil McCluskey,ART marketing,2016,6,30,7,68.0,https://artplusmarketing.com/painting-with-ais-6bcff75d57e7,https://artplusmarketing.com/@mcclux,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
603,603,Human pose estimation using OpenPose with TensorFlow (Part 1),,1,Ale Solano,AR/VR Journey: Augmented Virtual Reality Magazine,2017,10,2,6,934.0,https://arvrjourney.com/human-pose-estimation-using-openpose-with-tensorflow-part-1-7dd4ca5c8027,https://arvrjourney.com/@asolanopf,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
604,604,Human pose estimation using OpenPose with TensorFlow (Part 2),,1,Ale Solano,AR/VR Journey: Augmented Virtual Reality Magazine,2017,11,20,9,1200.0,https://arvrjourney.com/human-pose-estimation-using-openpose-with-tensorflow-part-2-e78ab9104fc8,https://arvrjourney.com/@asolanopf,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
663,663,"NVIDIA GTC: Innovation Accelerating, Ecosystem Gelling & Opportunity for Human Advancement Exploding","As those who follow my social media handles know (perhaps all too well), I spent last week in San Jose at the Nvidia GTC with Austin-based, GPU accelerated",0,Andrea Besikof Kalmans,Austin Startups,2017,5,15,4,3.0,https://austinstartups.com/nvidia-gtc-innovation-accelerating-ecosystem-gelling-opportunity-for-human-advancement-e712134f3331,https://austinstartups.com/@akalmans,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
772,772,3 evidence-backed methods to get things done,"My last post zealously outlined what I hoped to achieve with my time. This (over)ambitious drive was partly (and falsely) inspired by listening to people at the top of their food chain. I gawked at these tips from successful people, how they woke up at",0,Mohd Anisul Karim,Becoming Human: Artificial Intelligence Magazine,2017,5,6,3,1.0,https://becominghuman.ai/3-evidence-backed-methods-to-get-things-done-1cdc8c32da48,https://becominghuman.ai/@M.A.K,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
782,782,3D Multi Object GAN,Fully Convolutional Refined Auto-Encoding Generative Adversarial Networks for 3D,1,Yu Nishimura,Becoming Human: Artificial Intelligence Magazine,2017,9,6,7,54.0,https://becominghuman.ai/3d-multi-object-gan-7b7cee4abf80,https://becominghuman.ai/@nishimurayu,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
928,928,A Technical Introduction to Gesture Recognition for Data Scientists,,1,David Bao Fu,Becoming Human: Artificial Intelligence Magazine,2020,2,27,5,50.0,https://becominghuman.ai/a-technical-introduction-to-gesture-recognition-for-data-scientists-9ea4f1b76ed4,https://becominghuman.ai/@david.bao.fu,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
945,945,Advancing AI Through Better Data,,1,Playment,Becoming Human: Artificial Intelligence Magazine,2019,3,6,7,50.0,https://becominghuman.ai/advancing-ai-through-better-data-a0f27b8ab68e,https://becominghuman.ai/@PlaymentHQ,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
974,974,AI Chatbots: Reality vs. Hype,Welcome to the world of intelligent chatbots: your companion and conversation agents who should make your,1,Navveen Balani,Becoming Human: Artificial Intelligence Magazine,2019,7,4,20,86.0,https://becominghuman.ai/ai-chatbots-reality-vs-hype-b6ee72a9dfa3,https://becominghuman.ai/@naveenbalani,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
989,989,AI Gaming and the New Wild West of AI Development,How AI and gaming are becoming the new frontier of,1,Tony Minh Do,Becoming Human: Artificial Intelligence Magazine,2019,8,26,8,55.0,https://becominghuman.ai/ai-gaming-and-the-new-wild-west-of-ai-development-93b003e8e14d,https://becominghuman.ai/@tonyminhdo,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
995,995,AI in GjakovaObject Detection like You Never Seen It Before,,1,Halil Radogoshi,Becoming Human: Artificial Intelligence Magazine,2019,8,6,4,249.0,https://becominghuman.ai/ai-in-gjakova-object-detection-like-you-never-seen-it-before-debead06a058,https://becominghuman.ai/@halilradogoshi,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1050,1050,"Batch Normalization, Instance Normalization, Layer Normalization: Structural Nuances",,0,Mayank Agarwal,Becoming Human: Artificial Intelligence Magazine,2020,8,7,3,21.0,https://becominghuman.ai/all-about-normalization-6ea79e70894b,https://becominghuman.ai/@mayankgrwl97,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1064,1064,An Artifical General Intelligence,Use Case Part 1,1,Malcolm Dickson,Becoming Human: Artificial Intelligence Magazine,2018,12,21,4,100.0,https://becominghuman.ai/an-artifical-general-intelligence-12e7cc9489bd,https://becominghuman.ai/@mpdickson2,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1099,1099,Can art show the human perception undercurrents of the AI?,"The hype, fear and interest around artificial intelligence right now triggers people to start discussions and ask questions about whether AI will replace people one day or will we be able to take it almost as the same species.",0,Andrii Glushko,Becoming Human: Artificial Intelligence Magazine,2018,10,7,2,52.0,https://becominghuman.ai/art-can-show-the-undercurrent-of-human-perception-of-the-artificial-intelligence-b04188e2a684,https://becominghuman.ai/@aglushko,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1149,1149,Artificial Intelligenceis it ready to seize the world?,,1,Kirill Chukhlib,Becoming Human: Artificial Intelligence Magazine,2017,10,8,3,135.0,https://becominghuman.ai/artificial-intelligence-is-it-ready-to-seize-the-world-de74d260d2fa,https://becominghuman.ai/@KirillChukhlib,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1156,1156,Artificial Intelligence Rewind 2019,"Since the growth of digital data, the progress of AI has been peaking every year and its tending",1,DevSon,Becoming Human: Artificial Intelligence Magazine,2019,12,19,8,111.0,https://becominghuman.ai/artificial-intelligence-rewind-2019-5a6d8e912901,https://becominghuman.ai/@devson,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1199,1199,Back Propagation in Convolutional Neural NetworksIntuition and Code,,1,Mayank Agarwal,Becoming Human: Artificial Intelligence Magazine,2017,12,14,4,2000.0,https://becominghuman.ai/back-propagation-in-convolutional-neural-networks-intuition-and-code-714ef1c38199,https://becominghuman.ai/@mayankgrwl97,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1310,1310,Chatbots using AWS & SAS Viya,An Open Solution To Quickly Unlock Innovation,1,Sathish Gangichetty,Becoming Human: Artificial Intelligence Magazine,2018,2,2,8,58.0,https://becominghuman.ai/chatbots-using-aws-sas-viya-e8a7410ec256,https://becominghuman.ai/@dsmonk,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1333,1333,"Complex YOLO3D point clouds bounding box detection and tracking (PointNet, PointNet++, LaserNet, Point Pillars and",,1,Anjul Tyagi,Becoming Human: Artificial Intelligence Magazine,2020,7,21,6,53.0,https://becominghuman.ai/complex-yolo-3d-point-clouds-bounding-box-detection-and-tracking-pointnet-pointnet-lasernet-62e4fc2b6938,https://becominghuman.ai/@a_tyagi,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1336,1336,Computer Vision applications in Self-Driving Cars,,1,Jeremy Cohen,Becoming Human: Artificial Intelligence Magazine,2019,11,25,10,183.0,https://becominghuman.ai/computer-vision-applications-in-self-driving-cars-610561e14118,https://becominghuman.ai/@jeremyscohen,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1387,1387,"Data And Technology Dont Change Your Culture, They Reveal it",,1,Greg Satell,Becoming Human: Artificial Intelligence Magazine,2017,3,18,5,12.0,https://becominghuman.ai/data-and-technology-dont-change-your-culture-they-reveal-it-6ca983074755,https://becominghuman.ai/@digitaltonto,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1415,1415,Deconstructing Deepfakes,"For our February AI Ethics Twitter Chat, we invited expert guest, Dr. Brandie Nonnecke, Founding Director, Citris Policy Lab at UC Berkeley to discuss Deconstructing Deepfakes.",0,Mia Dand,Becoming Human: Artificial Intelligence Magazine,2020,4,3,5,50.0,https://becominghuman.ai/deconstructing-deepfakes-63737cfa1efb,https://becominghuman.ai/@miad,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1416,1416,Deep Functor,Deep Learning Abstractions with Category Theory,1,Max Bendick,Becoming Human: Artificial Intelligence Magazine,2018,2,2,6,142.0,https://becominghuman.ai/deep-functor-14d0dac194fb,https://becominghuman.ai/@maxbendick,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1420,1420,Deep Learning and Its 5 Advantages,"In this post, well take a closer look at deep learning and try to",1,Magnimind,Becoming Human: Artificial Intelligence Magazine,2020,1,28,8,134.0,https://becominghuman.ai/deep-learning-and-its-5-advantages-eaeee1f31c86,https://becominghuman.ai/@magnimind,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1424,1424,Deep Learning can democratize Animation and VFX,,1,Myelin Foundry,Becoming Human: Artificial Intelligence Magazine,2019,7,3,7,182.0,https://becominghuman.ai/deep-learning-can-democratize-animation-and-vfx-43bf51f06090,https://becominghuman.ai/@myelinfoundry,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1425,1425,Deep Learning Can Make Cloud Gaming More Accessible,,1,Myelin Foundry,Becoming Human: Artificial Intelligence Magazine,2019,6,24,6,58.0,https://becominghuman.ai/deep-learning-can-make-cloud-gaming-more-accessible-a717cadb2032,https://becominghuman.ai/@myelinfoundry,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1427,1427,Deep Learning can tackle the problem of sparse data by augmenting available data,,1,Myelin Foundry,Becoming Human: Artificial Intelligence Magazine,2019,9,11,5,76.0,https://becominghuman.ai/deep-learning-can-tackle-the-problem-of-sparse-data-by-augmenting-available-data-e9a4e0f1fc92,https://becominghuman.ai/@myelinfoundry,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1442,1442,Deep learning technologies to organize Your Future Infobesity,,1,Yva.ai,Becoming Human: Artificial Intelligence Magazine,2017,4,24,3,5.0,https://becominghuman.ai/deep-learning-technologies-to-organize-your-future-infobesity-e15f4ca0559,https://becominghuman.ai/@Yva.ai,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
