,Unnamed: 0,Title,Subtitle,Image,Author,Publication,Year,Month,Day,Reading_Time,Claps,url,Author_url,Tag_artificial-intelligence,Tag_data-analytics,Tag_data-engineering,Tag_data-science,Tag_deep-learning,Tag_machine-learning,Tag_nlp,Tag_python,Tag_r,Tag_reinforcement-learning,Tag_statistics,Category
690,690,Lenny #1: Robots + Reinforcement Learning,"This is my first post for A Year of AI, a project that Rohan Kapur and I will be undertaking over the next year to learn more about the fields of machine learning and artificial intelligence. For the first few months Ill be focusing on the field of",0,Lenny Khazan,A Year of Artificial Intelligence,2016,4,30,5,25.0,https://ayearofai.com/lenny-1-robots-reinforcement-learning-ae6e69ff4cf0,https://ayearofai.com/@lennykhazan,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
883,883,A Closer Look into the Major Types of Machine Learning Models,,1,Alibaba Cloud,Becoming Human: Artificial Intelligence Magazine,2019,8,7,6,77.0,https://becominghuman.ai/a-closer-look-into-the-major-types-of-machine-learning-models-77164a47012,https://becominghuman.ai/@Alibaba_Cloud,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
888,888,A Game of Thrones recipe for Reinforcement Learning,,1,Jaley Dholakiya,Becoming Human: Artificial Intelligence Magazine,2017,8,25,7,23.0,https://becominghuman.ai/a-game-of-thrones-recipe-for-reinforcement-learning-6f0c8f1b436,https://becominghuman.ai/@crazymuse,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
1162,1162,Artificial Intelligence Through My lens,,1,Meruja Selvamanikkam,Becoming Human: Artificial Intelligence Magazine,2019,10,30,7,222.0,https://becominghuman.ai/artificial-intelligence-through-my-lens-ada2a2307107,https://becominghuman.ai/@meruja,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
1208,1208,Beat Atari with Deep Reinforcement Learning! (Part 2: DQN improvements),,1,Adrien Lucas Ecoffet,Becoming Human: Artificial Intelligence Magazine,2017,10,31,8,444.0,https://becominghuman.ai/beat-atari-with-deep-reinforcement-learning-part-2-dqn-improvements-d3563f665a2c,https://becominghuman.ai/@AdrienLE,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
1331,1331,Combination of Deep and Reinforcement Learning,Machine learning fundamentally involves learning from the data and making,1,Samee Hassan,Becoming Human: Artificial Intelligence Magazine,2019,5,6,3,149.0,https://becominghuman.ai/combination-of-deep-and-reinforcement-learning-1ae49d6da3bc,https://becominghuman.ai/@SameeHsn,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
1334,1334,Components of a Reinforcement Learning Agent and its application on SNAKE,,1,Aneek Das,Becoming Human: Artificial Intelligence Magazine,2017,4,30,8,46.0,https://becominghuman.ai/components-of-an-rl-agent-and-its-application-on-snake-1b3b6c8e1de5,https://becominghuman.ai/@aneekdas,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
1627,1627,Episode 1Genetic Algorithm for Reinforcement Learning,,0,Moustafa Alzantot,Becoming Human: Artificial Intelligence Magazine,2017,6,29,5,569.0,https://becominghuman.ai/genetic-algorithm-for-reinforcement-learning-a38a5612c4dc,https://becominghuman.ai/@m.alzantot,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
2041,2041,Learning from mistakes with Hindsight Experience Replay,,1,Min Sang Kim,Becoming Human: Artificial Intelligence Magazine,2018,1,31,8,274.0,https://becominghuman.ai/learning-from-mistakes-with-hindsight-experience-replay-547fce2b3305,https://becominghuman.ai/@minsangkim,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
2056,2056,Beat Atari with Deep Reinforcement Learning! (Part 0: Intro to RL),,1,Adrien Lucas Ecoffet,Becoming Human: Artificial Intelligence Magazine,2017,8,29,8,595.0,https://becominghuman.ai/lets-build-an-atari-ai-part-0-intro-to-rl-9b2c5336e0ec,https://becominghuman.ai/@AdrienLE,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
2057,2057,Beat Atari with Deep Reinforcement Learning! (Part 1: DQN),,1,Adrien Lucas Ecoffet,Becoming Human: Artificial Intelligence Magazine,2017,8,29,13,1000.0,https://becominghuman.ai/lets-build-an-atari-ai-part-1-dqn-df57e8ff3b26,https://becominghuman.ai/@AdrienLE,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
2126,2126,Machine Learning vs Human Learning Part 1,Types of ML and Their Human Learning Theory Equivalents,1,The Curious Learner,Becoming Human: Artificial Intelligence Magazine,2018,12,22,6,101.0,https://becominghuman.ai/machine-learning-vs-human-learning-part-1-d509c2aad0e3,https://becominghuman.ai/@wyess,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
2199,2199,My Trials and Tribulations with Machine Learning,Part Two: Reinforcement Learning with Amazon Web,1,Mackenzie Pech,Becoming Human: Artificial Intelligence Magazine,2020,1,17,5,252.0,https://becominghuman.ai/my-trials-and-tribulations-with-machine-learning-cb8667810254,https://becominghuman.ai/@mackenziepech,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
2242,2242,NeurIPS: to make the most of it and get to the top,,1,Dbrain,Becoming Human: Artificial Intelligence Magazine,2018,12,3,8,1400.0,https://becominghuman.ai/neurips-to-make-the-most-of-it-and-get-to-the-top-cb103d5cdf00,https://becominghuman.ai/@dbrainio,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
2291,2291,Optimising Traffic Using Reinforcement Learning,,1,The LiFE Project,Becoming Human: Artificial Intelligence Magazine,2017,12,15,5,242.0,https://becominghuman.ai/optimising-traffic-using-reinforcement-learning-898944885336,https://becominghuman.ai/@thelifeproject,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
2352,2352,Q-Learning : A Maneuver of Mazes,Introduction and getting familiar to Reinforcement Learning.,1,Sai Kumar Basaveswara,Becoming Human: Artificial Intelligence Magazine,2019,9,25,9,113.0,https://becominghuman.ai/q-learning-a-maneuver-of-mazes-885137e957e4,https://becominghuman.ai/@BVPSK,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
2390,2390,Reinforcement Learning for Autonomous Vehicle Route Optimisation,,1,The LiFE Project,Becoming Human: Artificial Intelligence Magazine,2018,2,27,5,172.0,https://becominghuman.ai/reinforcement-learning-for-autonomous-vehicle-route-optimisation-d97efec9abbd,https://becominghuman.ai/@thelifeproject,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
2391,2391,Reinforcement Learning Improvement,There is a game named as guess game in OpenAI. It is in easy game classification. You can reach the,1,Bar  Can Tayiz,Becoming Human: Artificial Intelligence Magazine,2019,8,18,5,48.0,https://becominghuman.ai/reinforcement-learning-improvement-fe77e8b85d04,https://becominghuman.ai/@brscntyz,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
